id,host_id,listing_url,last_scraped,host_since,first_review,last_review,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,has_availability,instant_bookable,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calendar_updated,calculated_host_listings_count_shared_rooms,host_location,source,neighbourhood_group_cleansed
12447,48669,https://www.airbnb.com/rooms/12447,2024-12-23,2009-10-27,2011-11-10,2024-10-25,Jennifer,within an hour,100%,100%,t,2,t,t,Pacific Beach,32.80533,-117.234,Private room in condo,Private room,2,1 private bath,1.0,0.0,"[""Wifi"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In building"", ""Clothing storage: wardrobe and dresser"", ""Heating"", ""Smoke alarm"", ""32 inch HDTV with Roku"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Kitchenette"", ""Conditioner"", ""Bathtub"", ""Cooking basics"", ""Bed linens"", ""Mini fridge"", ""Free parking on premises"", ""Microwave"", ""Body soap"", ""Iron"", ""Paid washer \u2013 In building"", ""Hot water""]",t,f,87.0,6,365,6.0,365.0,0,248,4,3,0,4.75,4.0,5.0,5.0,5.0,4.75,4.75,"STR-06735L, 631362",,0,"San Diego, CA",city scrape,
62274,302986,https://www.airbnb.com/rooms/62274,2024-12-23,2010-11-28,2010-12-05,2024-11-30,Isabel,within an hour,100%,96%,t,3,t,t,Pacific Beach,32.80583,-117.24244,Private room in home,Private room,2,1 private bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Ceiling fan"", ""Refrigerator"", ""Dedicated workspace"", ""Shower gel"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Private entrance"", ""Conditioner"", ""Portable heater"", ""Bed linens"", ""Mini fridge"", ""Private patio or balcony"", ""Microwave"", ""Free parking on premises"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Body soap"", ""Iron"", ""Single level home"", ""BBQ grill"", ""Air conditioning"", ""Hot water"", ""Outdoor dining area"", ""Room-darkening shades""]",t,f,91.0,1,10,1.1,1125.0,10,179,933,83,3,4.78,4.86,4.86,4.93,4.86,4.87,4.79,"STR-00821L, 520121",,0,"San Diego, CA",city scrape,
75668,401936,https://www.airbnb.com/rooms/75668,2024-12-23,2011-02-20,2011-07-25,2022-11-26,Johnathon,a few days or more,0%,0%,f,3,t,t,North Hills,32.74699,-117.14243,Private room in condo,Private room,2,1 private bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""Smoke alarm"", ""Refrigerator"", ""TV with standard cable"", ""Oven"", ""Dryer"", ""Patio or balcony"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Bed linens"", ""Microwave"", ""Essentials"", ""Iron"", ""First aid kit"", ""Air conditioning"", ""Kitchen"", ""Hot water"", ""Washer"", ""Lock on bedroom door"", ""Coffee maker""]",t,f,45.0,31,1825,31.0,1825.0,0,79,196,0,0,4.83,4.86,4.71,4.87,4.89,4.8,4.87,,,0,"San Diego, CA",city scrape,
77785,417659,https://www.airbnb.com/rooms/77785,2024-12-23,2011-03-02,2018-02-21,2022-09-10,Alicia,,,50%,f,1,t,t,Old Town,32.749096,-117.191025,Private room in condo,Private room,1,1 private bath,1.0,1.0,"[""Coffee maker: drip coffee maker, french press, Nespresso"", ""Toaster"", ""Dishes and silverware"", ""Long term stays allowed"", ""Dove bath soap  body soap"", ""Carbon monoxide alarm"", ""Heating"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Smoke alarm"", ""Coffee"", ""Refrigerator"", ""Wine glasses"", ""Dedicated workspace"", ""Fire extinguisher"", ""Oven"", ""Free street parking"", ""Shared hot tub"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Blender"", ""Shampoo"", ""Dining table"", ""Conditioner"", ""Wifi \u2013 41 Mbps"", ""Bathtub"", ""Cooking basics"", ""TV with Apple TV, Amazon Prime Video"", ""Hot water kettle"", ""Private gym in building"", ""Bed linens"", ""Portable fans"", ""Free parking on premises"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Lockbox"", ""Iron"", ""First aid kit"", ""Baking sheet"", ""Ethernet connection"", ""Exercise equipment"", ""Kitchen"", ""Hot water"", ""Self check-in"", ""Lock on bedroom door"", ""Clothing storage: closet"", ""Cleaning available during stay"", ""Electric stove"", ""Freezer"", ""Shared pool""]",t,f,90.0,31,120,31.0,120.0,29,98,20,0,0,4.85,4.95,4.9,4.9,4.95,5.0,4.75,,,0,"Yuma, AZ",city scrape,
79300,401936,https://www.airbnb.com/rooms/79300,2024-12-23,2011-02-20,2011-03-22,2022-12-13,Johnathon,a few days or more,0%,0%,f,3,t,t,North Hills,32.74715,-117.1428,Private room in condo,Private room,2,1 private bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""Smoke alarm"", ""Refrigerator"", ""TV with standard cable"", ""Oven"", ""Dryer"", ""Free street parking"", ""Patio or balcony"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Bed linens"", ""Microwave"", ""Essentials"", ""Iron"", ""First aid kit"", ""Air conditioning"", ""Kitchen"", ""Hot water"", ""Washer"", ""Lock on bedroom door"", ""Coffee maker""]",t,f,50.0,31,1825,31.0,1825.0,0,73,162,0,0,4.81,4.87,4.6,4.92,4.9,4.77,4.87,,,0,"San Diego, CA",city scrape,
103417,252692,https://www.airbnb.com/rooms/103417,2024-12-23,2010-10-04,2011-08-16,2024-10-30,Marsha,within a few hours,100%,84%,t,2,t,t,La Jolla,32.81321,-117.26853,Private room in home,Private room,1,1 shared bath,1.0,1.0,"[""Clothing storage: closet and dresser"", ""Wifi"", ""Toaster"", ""Dishes and silverware"", ""Rice maker"", ""Keypad"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Ceiling fan"", ""Courtyard view"", ""Drying rack for clothing"", ""Smoke alarm"", ""Coffee maker: Keurig coffee machine"", ""Coffee"", ""Wine glasses"", ""Dedicated workspace"", ""Garden view"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Blender"", ""Private entrance"", ""Dining table"", ""Conditioner"", ""Portable heater"", ""Costco products shampoo"", ""Cooking basics"", ""Hot water kettle"", ""Board games"", ""Bed linens"", ""32 inch HDTV with Amazon Prime Video, Hulu, Netflix, Roku, standard cable"", ""Portable fans"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Body soap"", ""Iron"", ""Single level home"", ""Westin Holly electric stove"", ""First aid kit"", ""Piano"", ""Outdoor furniture"", ""Baking sheet"", ""Beach essentials"", ""Kitchen"", ""Hot water"", ""Kenmore refrigerator"", ""Exercise equipment: free weights, yoga mat"", ""Outdoor dining area"", ""Outdoor shower"", ""Free parking on premises \u2013 1 space"", ""Self check-in"", ""Lock on bedroom door"", ""Shared patio or balcony"", ""Single oven"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades""]",t,f,67.0,3,28,3.0,28.0,15,73,261,11,0,4.93,4.92,4.94,4.94,4.97,4.95,4.9,"STR-05706L, 523003",,0,"San Diego, CA",city scrape,
149548,721326,https://www.airbnb.com/rooms/149548,2024-12-23,2011-06-20,2011-08-12,2024-11-15,Olivia,within a few hours,100%,96%,t,5,t,t,Bay Park,32.79993,-117.20067,Private room in home,Private room,1,1 shared bath,1.0,1.0,"[""Outlet covers"", ""Clothing storage: closet and dresser"", ""Wifi"", ""Toaster"", ""Dishes and silverware"", ""Long term stays allowed"", ""Rice maker"", ""Keypad"", ""Carbon monoxide alarm"", ""TV"", ""Heating"", ""Stove"", ""Private backyard \u2013 Fully fenced"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Smoke alarm"", ""Coffee"", ""Refrigerator"", ""Wine glasses"", ""Dedicated workspace"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Exterior security cameras on property"", ""Shower gel"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Blender"", ""Shampoo"", ""Indoor fireplace"", ""Private entrance"", ""Dining table"", ""Conditioner"", ""Bathtub"", ""Cooking basics"", ""Hot water kettle"", ""Bed linens"", ""Portable fans"", ""Free parking on premises"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Body soap"", ""Iron"", ""Single level home"", ""First aid kit"", ""Outdoor furniture"", ""BBQ grill"", ""Baking sheet"", ""Ethernet connection"", ""Air conditioning"", ""Kitchen"", ""Hot water"", ""Washer"", ""Beach essentials"", ""Books and reading material"", ""Outdoor dining area"", ""Lock on bedroom door"", ""Coffee maker: french press, Nespresso, pour-over coffee"", ""Shared patio or balcony"", ""Self check-in"", ""Window guards"", ""Freezer"", ""Private outdoor kitchen"", ""Shared beach access"", ""Laundromat nearby"", ""Room-darkening shades"", ""Barbecue utensils""]",t,f,85.0,3,93,3.0,1125.0,10,160,267,13,0,4.93,4.93,4.97,4.97,4.98,4.89,4.93,"STR-07582L, 611381",,0,"San Diego, CA",city scrape,
167804,721326,https://www.airbnb.com/rooms/167804,2024-12-23,2011-06-20,2012-08-01,2024-10-05,Olivia,within a few hours,100%,96%,t,5,t,t,Bay Park,32.80135,-117.20282,Private room in home,Private room,1,1 shared bath,1.0,1.0,"[""Free washer \u2013 In building"", ""Wifi"", ""Toaster"", ""Dishes and silverware"", ""Long term stays allowed"", ""Rice maker"", ""Keypad"", ""Children\u2019s dinnerware"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In building"", ""Portable air conditioning"", ""Heating"", ""Stove"", ""Private backyard \u2013 Fully fenced"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Smoke alarm"", ""Coffee"", ""Clothing storage"", ""Refrigerator"", ""Wine glasses"", ""Dedicated workspace"", ""Fire extinguisher"", ""Oven"", ""Exterior security cameras on property"", ""Shower gel"", ""32 inch HDTV"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Blender"", ""Shampoo"", ""Indoor fireplace"", ""Private entrance"", ""Dining table"", ""Bathtub"", ""Cooking basics"", ""Hot water kettle"", ""Bed linens"", ""Portable fans"", ""Mini fridge"", ""Free parking on premises"", ""Trader Joe's Tea Tree conditioner"", ""Essentials"", ""Extra pillows and blankets"", ""Iron"", ""Single level home"", ""First aid kit"", ""Outdoor furniture"", ""BBQ grill"", ""Baking sheet"", ""Beach essentials"", ""Kitchen"", ""Hot water"", ""Jason body soap"", ""Books and reading material"", ""Outdoor dining area"", ""Lock on bedroom door"", ""Coffee maker"", ""Shared patio or balcony"", ""Self check-in"", ""Freezer"", ""Barbecue utensils""]",t,f,64.0,3,93,2.9,1125.0,30,179,152,15,0,4.89,4.89,4.91,4.97,4.95,4.84,4.85,"STR-07582L, 611381",,0,"San Diego, CA",city scrape,
189785,915738,https://www.airbnb.com/rooms/189785,2024-12-23,2011-08-03,2014-01-22,2024-08-03,Jeff,within a few hours,100%,100%,f,1,t,t,La Jolla,32.81041,-117.26637,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Long term stays allowed"", ""Keypad"", ""Carbon monoxide alarm"", ""Heating"", ""Stove"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Refrigerator"", ""Dedicated workspace"", ""Fire extinguisher"", ""Oven"", ""Free street parking"", ""Shared hot tub"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Bed linens"", ""Private patio or balcony"", ""Microwave"", ""Sea view"", ""Essentials"", ""Extra pillows and blankets"", ""Beach access \u2013 Beachfront"", ""Iron"", ""Pool view"", ""Ocean view"", ""Outdoor furniture"", ""Paid washer \u2013 In building"", ""BBQ grill"", ""Beach essentials"", ""Kitchen"", ""Hot water"", ""Outdoor dining area"", ""Lock on bedroom door"", ""Paid dryer \u2013 In building"", ""Coffee maker"", ""Elevator"", ""65 inch HDTV with Netflix"", ""Self check-in"", ""Shared pool""]",t,f,110.0,31,1125,31.0,1125.0,30,179,43,2,0,4.98,4.88,4.72,4.95,4.95,4.98,4.77,,,0,"San Diego, CA",city scrape,
385760,1486293,https://www.airbnb.com/rooms/385760,2024-12-23,2011-12-08,2012-04-23,2024-05-20,Ann,within a few hours,100%,50%,f,2,t,t,Loma Portal,32.75711,-117.22541,Private room in home,Private room,2,1 private bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Heating"", ""Stove"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Refrigerator"", ""Dedicated workspace"", ""Oven"", ""Dryer"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Bed linens"", ""Private patio or balcony"", ""Free parking on premises"", ""Microwave"", ""Essentials"", ""Extra pillows and blankets"", ""Iron"", ""First aid kit"", ""BBQ grill"", ""Host greets you"", ""Hot water"", ""Washer"", ""Children\u2019s books and toys"", ""Lock on bedroom door"", ""Coffee maker"", ""Shared pool""]",t,f,55.0,31,365,31.0,365.0,17,352,92,1,0,4.95,4.94,4.99,4.95,4.96,4.84,4.93,,,0,"San Diego, CA",city scrape,
466663,2315442,https://www.airbnb.com/rooms/466663,2024-12-23,2012-05-07,2012-06-07,2024-11-26,Michael,within an hour,99%,100%,f,10,t,t,Park West,32.72699,-117.16578,Private room in home,Private room,3,Shared half-bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Keypad"", ""Carbon monoxide alarm"", ""Heating"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Smoke alarm"", ""KitchenAid gas stove"", ""Refrigerator"", ""Dedicated workspace"", ""Fire extinguisher"", ""Garden view"", ""Window AC unit"", ""Oven"", ""Pets allowed"", ""Exterior security cameras on property"", ""Free street parking"", ""Indoor fireplace: gas"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Dining table"", ""Cooking basics"", ""Bed linens"", ""Portable fans"", ""Private patio or balcony"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Body soap"", ""32 inch HDTV with standard cable"", ""Iron"", ""Outdoor furniture"", ""BBQ grill"", ""Kitchen"", ""Hot water"", ""Outdoor dining area"", ""Shared backyard \u2013 Fully fenced"", ""Lock on bedroom door"", ""Coffee maker"", ""Clothing storage: closet"", ""Self check-in"", ""Laundromat nearby"", ""Room-darkening shades"", ""Barbecue utensils""]",t,f,49.0,1,28,1.0,28.0,25,85,833,41,1,4.66,4.7,4.58,4.88,4.83,4.73,4.69,"STR-07583L, 629315",,0,"San Diego, CA",city scrape,
468475,2315442,https://www.airbnb.com/rooms/468475,2024-12-23,2012-05-07,2012-07-17,2024-12-01,Michael,within an hour,99%,100%,f,10,t,t,Park West,32.72857,-117.16604,Private room in cottage,Private room,3,1 private bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Keypad"", ""Carbon monoxide alarm"", ""Heating"", ""Stove"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Smoke alarm"", ""Coffee"", ""Refrigerator"", ""Dedicated workspace"", ""Free parking on premises \u2013 4 spaces"", ""Garden view"", ""Window AC unit"", ""Oven"", ""HDTV with standard cable, Roku"", ""Pets allowed"", ""Exterior security cameras on property"", ""Free street parking"", ""Patio or balcony"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Indoor fireplace"", ""Shampoo"", ""Private entrance"", ""Dining table"", ""Cooking basics"", ""Bed linens"", ""Portable fans"", ""Mini fridge"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Body soap"", ""Iron"", ""Outdoor furniture"", ""BBQ grill"", ""Kitchen"", ""Hot water"", ""Outdoor dining area"", ""Shared backyard \u2013 Fully fenced"", ""Lock on bedroom door"", ""Coffee maker"", ""Clothing storage: closet"", ""Self check-in"", ""Laundromat nearby"", ""Room-darkening shades"", ""Barbecue utensils""]",t,f,54.0,1,28,1.0,28.0,8,58,774,49,2,4.57,4.6,4.47,4.88,4.84,4.72,4.62,"STR-07583L, 629315",,0,"San Diego, CA",city scrape,
470520,2315442,https://www.airbnb.com/rooms/470520,2024-12-23,2012-05-07,2012-06-23,2024-12-06,Michael,within an hour,99%,100%,f,10,t,t,Park West,32.72839,-117.16589,Private room in home,Private room,2,1 shared bath,1.0,1.0,"[""City skyline view"", ""Wifi"", ""Dishes and silverware"", ""HDTV with standard cable"", ""Keypad"", ""Carbon monoxide alarm"", ""Portable air conditioning"", ""Heating"", ""Luggage dropoff allowed"", ""Bay view"", ""Ceiling fan"", ""Smoke alarm"", ""Coffee"", ""Refrigerator"", ""Fire extinguisher"", ""Garden view"", ""Oven"", ""Pets allowed"", ""Exterior security cameras on property"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Indoor fireplace"", ""Shampoo"", ""Harbor view"", ""Dining table"", ""Cooking basics"", ""Hot water kettle"", ""Bed linens"", ""Portable fans"", ""Private patio or balcony"", ""Microwave"", ""Free parking on premises"", ""Cleaning products"", ""Essentials"", ""Iron"", ""Outdoor furniture"", ""Kitchen"", ""Hot water"", ""Outdoor dining area"", ""Outdoor shower"", ""Gas stove"", ""Lock on bedroom door"", ""Coffee maker"", ""Shared backyard \u2013 Fully fenced"", ""BBQ grill: gas"", ""Clothing storage: closet"", ""Self check-in"", ""Laundromat nearby"", ""Room-darkening shades"", ""Barbecue utensils""]",t,f,51.0,1,28,1.0,28.0,20,80,935,30,4,4.75,4.76,4.62,4.91,4.88,4.81,4.75,"STR-07583L, 629315",,0,"San Diego, CA",city scrape,
589214,2315442,https://www.airbnb.com/rooms/589214,2024-12-23,2012-05-07,2012-09-18,2024-11-24,Michael,within an hour,99%,100%,f,10,t,t,Park West,32.72781,-117.16383,Private room in treehouse,Private room,2,1 private bath,1.0,1.0,"[""City skyline view"", ""Wifi"", ""Dishes and silverware"", ""Keypad"", ""Heating"", ""Stove"", ""Luggage dropoff allowed"", ""Bay view"", ""Smoke alarm"", ""Ceiling fan"", ""Courtyard view"", ""Coffee"", ""Dedicated workspace"", ""Fire extinguisher"", ""Free parking on premises \u2013 4 spaces"", ""Window AC unit"", ""Pets allowed"", ""Exterior security cameras on property"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Blender"", ""Shampoo"", ""Private entrance"", ""Dining table"", ""Cooking basics"", ""Kitchenaide duel fuel oven stove stainless steel oven"", ""Hot water kettle"", ""Bed linens"", ""Portable fans"", ""Private patio or balcony"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Iron"", ""Outdoor furniture"", ""Put name and checkout date on food refrigerator"", ""BBQ grill"", ""Baking sheet"", ""Kitchen"", ""Hot water"", ""Outdoor dining area"", ""Outdoor shower"", ""Shared backyard \u2013 Fully fenced"", ""Lock on bedroom door"", ""Coffee maker"", ""Self check-in"", ""Laundromat nearby"", ""Barbecue utensils""]",t,f,48.0,1,28,1.0,28.0,6,6,1086,52,1,4.69,4.67,4.62,4.91,4.89,4.77,4.65,"STR-07583L, 069316",,0,"San Diego, CA",city scrape,
589254,1117966,https://www.airbnb.com/rooms/589254,2024-12-23,2011-09-06,2014-07-26,2021-06-27,John,,,,f,2,t,t,Midtown,32.74217,-117.16377,Private room in condo,Private room,2,1 private bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Baby safety gates"", ""Heating"", ""Stove"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Refrigerator"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Free street parking"", ""Hangers"", ""Dishwasher"", ""Indoor fireplace"", ""Shampoo"", ""Bathtub"", ""Cooking basics"", ""Bed linens"", ""Microwave"", ""Essentials"", ""Extra pillows and blankets"", ""Iron"", ""Air conditioning"", ""Kitchen"", ""Hot water"", ""Washer"", ""Lock on bedroom door"", ""Coffee maker""]",t,f,75.0,31,42,31.0,42.0,0,0,193,0,0,4.92,4.95,4.9,4.92,4.96,4.94,4.83,,,0,"San Diego, CA",city scrape,
611250,2315442,https://www.airbnb.com/rooms/611250,2024-12-23,2012-05-07,2012-08-07,2024-12-06,Michael,within an hour,99%,100%,f,10,t,t,Park West,32.72784,-117.16398,Private room in home,Private room,2,Shared half-bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""HDTV with standard cable"", ""Keypad"", ""Portable air conditioning"", ""Heating"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Coffee"", ""Clothing storage"", ""Refrigerator"", ""Dedicated workspace"", ""Fire extinguisher"", ""Garden view"", ""Oven"", ""Pets allowed"", ""Exterior security cameras on property"", ""Free street parking"", ""Hangers"", ""Dishwasher"", ""Indoor fireplace"", ""Shampoo"", ""Private entrance"", ""Dining table"", ""Cooking basics"", ""Bed linens"", ""Portable fans"", ""Free parking on premises"", ""Microwave"", ""Essentials"", ""Cleaning products"", ""Iron"", ""Outdoor furniture"", ""BBQ grill"", ""Kitchen"", ""Hot water"", ""Outdoor dining area"", ""Shared backyard \u2013 Fully fenced"", ""Lock on bedroom door"", ""Coffee maker"", ""Shared patio or balcony"", ""Self check-in"", ""Laundromat nearby"", ""Barbecue utensils""]",t,t,49.0,1,28,1.0,28.0,17,72,676,58,3,4.61,4.68,4.56,4.88,4.86,4.81,4.61,"STR-07593L, 629315",,0,"San Diego, CA",city scrape,
616718,2315442,https://www.airbnb.com/rooms/616718,2024-12-23,2012-05-07,2012-08-08,2024-12-02,Michael,within an hour,99%,100%,f,10,t,t,Park West,32.72636,-117.16461,Private room in home,Private room,2,1 private bath,1.0,0.0,"[""Wifi"", ""Dishes and silverware"", ""HDTV with standard cable"", ""Keypad"", ""Portable air conditioning"", ""Heating"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Ceiling fan"", ""Coffee"", ""Refrigerator"", ""Dedicated workspace"", ""Fire extinguisher"", ""Oven"", ""Exterior security cameras on property"", ""Shower gel"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Indoor fireplace"", ""Dining table"", ""Cooking basics"", ""Bed linens"", ""Portable fans"", ""Free parking on premises"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Iron"", ""Outdoor furniture"", ""BBQ grill"", ""Kitchen"", ""Hot water"", ""Outdoor dining area"", ""Gas stove"", ""Lock on bedroom door"", ""Coffee maker"", ""Shared backyard \u2013 Fully fenced"", ""Shared patio or balcony"", ""Clothing storage: closet"", ""Self check-in"", ""Laundromat nearby"", ""Barbecue utensils""]",t,t,52.0,1,28,1.0,28.0,20,80,815,38,2,4.6,4.63,4.57,4.9,4.83,4.71,4.63,"STR-07583L, 629315",,0,"San Diego, CA",city scrape,
670830,2315442,https://www.airbnb.com/rooms/670830,2024-12-23,2012-05-07,2012-09-06,2024-11-28,Michael,within an hour,99%,100%,f,10,t,t,Park West,32.72632,-117.16597,Private room in home,Private room,2,3 shared baths,10.0,1.0,"[""City skyline view"", ""Wifi"", ""Dishes and silverware"", ""HDTV with standard cable"", ""Carbon monoxide alarm"", ""Heating"", ""Luggage dropoff allowed"", ""Bay view"", ""Ceiling fan"", ""Smoke alarm"", ""Coffee"", ""Refrigerator"", ""Dedicated workspace"", ""Fire extinguisher"", ""Window AC unit"", ""Oven"", ""Exterior security cameras on property"", ""Shower gel"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Harbor view"", ""Dining table"", ""Cooking basics"", ""Hot water kettle"", ""Bed linens"", ""Portable fans"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Body soap"", ""Smart lock"", ""Iron"", ""Outdoor furniture"", ""Kitchen"", ""Hot water"", ""Outdoor dining area"", ""Gas stove"", ""Shared backyard \u2013 Fully fenced"", ""Coffee maker"", ""BBQ grill: gas"", ""Shared patio or balcony"", ""Self check-in"", ""Laundromat nearby"", ""Room-darkening shades"", ""Barbecue utensils""]",t,t,49.0,1,28,1.0,28.0,25,85,710,40,1,4.63,4.67,4.52,4.86,4.83,4.75,4.65,"STR-07583L, 629315",,0,"San Diego, CA",city scrape,
810931,3547828,https://www.airbnb.com/rooms/810931,2024-12-23,2012-09-12,2019-03-04,2024-07-31,Blair,within a few hours,92%,37%,f,25,t,t,East Village,32.71724,-117.15306,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,"[""City skyline view"", ""Wifi"", ""Toaster"", ""Dishes and silverware"", ""Rice maker"", ""Heating"", ""Stove"", ""Smoke alarm"", ""Refrigerator"", ""Wine glasses"", ""Dedicated workspace"", ""Oven"", ""Dryer"", ""Free street parking"", ""Hangers"", ""40 inch HDTV with standard cable, Fire TV"", ""Blender"", ""Cooking basics"", ""Fire pit"", ""Hot water kettle"", ""Microwave"", ""Essentials"", ""Backyard"", ""Lockbox"", ""Outdoor furniture"", ""Paid parking off premises"", ""BBQ grill"", ""Baking sheet"", ""Kitchen"", ""Washer"", ""Hot water"", ""Outdoor dining area"", ""Lock on bedroom door"", ""Coffee maker"", ""Self check-in""]",t,f,48.0,31,365,31.0,365.0,0,51,4,1,0,5.0,5.0,4.25,5.0,5.0,4.75,4.25,,,0,"San Diego, CA",city scrape,
887573,4706066,https://www.airbnb.com/rooms/887573,2024-12-23,2013-01-14,2013-01-22,2024-11-18,Dragos,within an hour,100%,75%,t,3,t,t,Mission Bay,32.79113,-117.23302,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,"[""Heating"", ""Kitchen"", ""Washer"", ""Wifi"", ""Free parking on premises"", ""Dryer"", ""Free street parking"", ""Hangers"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Portable air conditioning"", ""Shampoo"", ""Iron"", ""Smoke alarm""]",t,f,69.0,3,1125,3.0,1125.0,0,258,102,12,0,4.85,4.84,4.8,4.88,4.91,4.84,4.82,"STR-06368L, 647484",,0,"San Diego, CA",city scrape,
